Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager
43,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,three,Healthcare Representative,low,Married,9985,No,low,one,10,good,1,0,0
45,No,Travel_Rarely,Research & Development,masters_degree,Other,very_high,high,two,Research Scientist,very_high,Married,3697,No,low,two,12,better,10,9,8
40,No,Travel_Rarely,Sales,some_college,Medical,meduim,low,two,Sales Executive,very_high,Married,7457,Yes,high,three,6,good,4,3,2
29,Yes,Travel_Rarely,Research & Development,masters_degree,Other,meduim,low,one,Laboratory Technician,low,Married,2119,Yes,very_high,zero,7,good,7,7,7
29,No,Travel_Rarely,Research & Development,Doctorate,Other,meduim,meduim,one,Laboratory Technician,very_high,Single,3983,No,high,zero,4,better,3,2,2
30,No,Travel_Rarely,Sales,bachelors_degree,Marketing,very_high,meduim,two,Sales Executive,high,Divorced,6118,No,high,three,10,better,10,9,2
27,No,Travel_Rarely,Sales,masters_degree,Marketing,meduim,high,two,Sales Executive,meduim,Married,6214,No,low,one,8,better,8,7,7
37,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,high,two,Manufacturing Director,very_high,Divorced,6347,No,high,two,8,good,6,2,4
38,No,Travel_Rarely,Research & Development,some_college,Life Sciences,high,meduim,three,Research Director,very_high,Divorced,11510,Yes,meduim,one,12,better,11,10,9
31,No,Travel_Rarely,Research & Development,masters_degree,Medical,high,high,three,Manufacturing Director,very_high,Single,7143,Yes,high,zero,11,good,11,9,10
29,No,Travel_Rarely,Sales,no_college,Marketing,very_high,meduim,two,Sales Executive,meduim,Divorced,8268,Yes,low,two,7,better,7,7,7
35,No,Travel_Rarely,Research & Development,masters_degree,Technical Degree,high,high,three,Manufacturing Director,meduim,Single,8095,No,very_high,zero,17,better,16,6,13
23,No,Travel_Rarely,Research & Development,no_college,Life Sciences,high,high,one,Research Scientist,very_high,Divorced,2904,No,high,two,4,good,4,2,2
41,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,meduim,two,Manufacturing Director,meduim,Single,6032,Yes,very_high,zero,8,better,5,4,2
47,No,Travel_Frequently,Sales,no_college,Medical,meduim,high,two,Sales Representative,high,Single,2976,No,low,zero,5,better,0,0,0
42,No,Travel_Rarely,Research & Development,Doctorate,Life Sciences,low,high,four,Research Director,very_high,Single,15992,No,meduim,zero,16,better,1,0,0
29,No,Non-Travel,Sales,bachelors_degree,Life Sciences,very_high,high,two,Sales Executive,high,Married,4649,No,low,one,4,good,4,3,2
42,No,Travel_Rarely,Human Resources,no_college,Technical Degree,high,high,one,Human Resources,high,Divorced,2696,Yes,high,one,4,better,3,2,0
32,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,one,Laboratory Technician,meduim,Married,2370,No,high,one,8,better,8,0,7
48,No,Travel_Rarely,Sales,no_college,Medical,low,high,three,Manager,high,Married,12504,No,meduim,one,15,bad,0,0,0
37,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,very_high,two,Research Scientist,low,Divorced,5974,Yes,low,two,13,better,7,7,7
30,No,Non-Travel,Sales,some_college,Technical Degree,very_high,high,two,Sales Executive,high,Married,4736,Yes,meduim,one,4,best,2,2,2
26,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,high,high,two,Sales Executive,high,Married,5296,No,meduim,one,8,better,8,7,7
42,No,Travel_Rarely,Research & Development,masters_degree,Other,low,meduim,two,Healthcare Representative,very_high,Single,6781,No,meduim,zero,14,better,1,0,0
21,Yes,Travel_Frequently,Sales,no_college,Technical Degree,low,meduim,one,Sales Representative,meduim,Single,2174,Yes,high,zero,3,better,3,2,2
36,No,Non-Travel,Sales,Doctorate,Medical,very_high,high,two,Sales Executive,very_high,Single,6653,No,meduim,zero,7,better,1,0,0
36,No,Travel_Frequently,Sales,masters_degree,Medical,low,meduim,three,Sales Executive,very_high,Married,9699,No,low,one,16,better,13,9,12
57,No,Travel_Rarely,Research & Development,masters_degree,Medical,very_high,high,two,Healthcare Representative,high,Married,6755,No,high,zero,15,better,3,2,2
40,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,very_high,one,Laboratory Technician,high,Married,2213,Yes,high,one,10,better,7,7,7
21,No,Non-Travel,Sales,some_college,Medical,low,high,one,Sales Representative,very_high,Single,2610,No,high,zero,3,good,3,2,2
33,Yes,Travel_Rarely,Sales,bachelors_degree,Marketing,very_high,high,one,Sales Representative,high,Single,2851,Yes,meduim,zero,1,better,1,0,0
37,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,one,Laboratory Technician,low,Married,3452,No,meduim,one,17,better,5,4,3
46,No,Non-Travel,Research & Development,masters_degree,Medical,high,high,two,Manufacturing Director,high,Married,5258,No,high,zero,7,best,1,0,0
41,Yes,Travel_Frequently,Sales,bachelors_degree,Marketing,low,high,two,Sales Executive,meduim,Single,9355,No,high,zero,8,better,8,7,7
50,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,very_high,meduim,three,Healthcare Representative,very_high,Single,10496,No,very_high,zero,20,better,4,3,3
40,Yes,Travel_Rarely,Sales,some_college,Marketing,high,meduim,two,Sales Executive,high,Married,6380,Yes,low,two,8,better,6,4,0
31,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,meduim,one,Research Scientist,meduim,Single,2657,Yes,very_high,zero,3,better,2,2,2
21,Yes,Travel_Rarely,Sales,bachelors_degree,Life Sciences,high,very_high,one,Sales Representative,meduim,Single,2716,No,very_high,zero,1,better,1,0,0
29,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,very_high,Single,2201,No,very_high,zero,6,better,3,2,2
35,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,meduim,two,Healthcare Representative,meduim,Single,6540,No,high,zero,10,better,1,1,0
27,No,Travel_Rarely,Research & Development,some_college,Medical,very_high,high,one,Laboratory Technician,meduim,Divorced,3816,No,meduim,one,5,better,5,2,4
28,No,Travel_Rarely,Sales,masters_degree,Life Sciences,meduim,high,two,Sales Executive,very_high,Single,5253,No,very_high,zero,7,better,7,5,7
49,No,Travel_Rarely,Research & Development,bachelors_degree,Other,meduim,meduim,three,Healthcare Representative,high,Single,10965,No,high,zero,26,better,5,2,0
51,No,Travel_Rarely,Sales,some_college,Life Sciences,high,high,two,Sales Executive,very_high,Married,4936,No,high,one,18,good,7,7,7
36,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,high,Married,2543,No,meduim,one,6,better,2,2,2
34,Yes,Non-Travel,Sales,bachelors_degree,Marketing,low,very_high,two,Sales Executive,very_high,Single,5304,Yes,meduim,zero,9,good,5,2,4
55,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,four,Manager,very_high,Single,16659,Yes,high,zero,30,better,5,4,2
24,No,Travel_Rarely,Sales,masters_degree,Marketing,very_high,high,two,Sales Executive,high,Divorced,4260,Yes,very_high,one,5,best,5,2,3
30,No,Travel_Rarely,Sales,no_college,Technical Degree,high,high,one,Sales Representative,meduim,Married,2476,No,low,one,1,better,1,0,0
26,Yes,Travel_Frequently,Research & Development,no_college,Technical Degree,high,high,one,Research Scientist,low,Single,3102,No,high,zero,7,better,6,4,4
22,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,high,one,Research Scientist,meduim,Married,2244,No,very_high,one,2,better,2,1,2
36,No,Travel_Rarely,Sales,some_college,Medical,meduim,meduim,three,Sales Executive,high,Married,7596,No,meduim,two,10,better,10,9,0
30,Yes,Travel_Frequently,Research & Development,bachelors_degree,Technical Degree,high,high,one,Research Scientist,very_high,Single,2285,Yes,high,zero,3,better,1,0,0
37,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,high,one,Laboratory Technician,low,Divorced,3034,No,high,one,18,good,18,7,17
40,No,Travel_Rarely,Sales,some_college,Marketing,very_high,high,two,Sales Executive,meduim,Divorced,5715,No,high,two,8,better,5,4,3
42,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,high,one,Laboratory Technician,low,Divorced,2576,No,meduim,one,8,better,5,2,2
37,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,high,two,Manufacturing Director,meduim,Single,4197,Yes,very_high,zero,18,good,1,0,1
43,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,meduim,four,Research Director,meduim,Divorced,14336,No,high,one,25,better,25,10,9
40,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,meduim,two,Laboratory Technician,high,Married,3448,No,meduim,one,20,better,1,0,0
54,No,Travel_Rarely,Research & Development,some_college,Medical,low,high,five,Research Director,low,Married,19406,No,high,one,24,good,4,2,2
34,No,Non-Travel,Sales,masters_degree,Marketing,high,high,two,Sales Executive,high,Married,6538,No,low,one,6,better,3,2,2
31,No,Travel_Rarely,Research & Development,some_college,Medical,meduim,high,two,Manufacturing Director,low,Married,4306,No,meduim,one,13,bad,13,10,12
43,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,very_high,high,one,Laboratory Technician,very_high,Married,2258,No,low,one,8,better,3,2,2
43,No,Travel_Rarely,Research & Development,masters_degree,Other,high,high,two,Healthcare Representative,high,Divorced,4522,Yes,very_high,zero,8,better,5,2,2
25,No,Travel_Rarely,Sales,some_college,Life Sciences,meduim,meduim,two,Sales Executive,very_high,Single,4487,Yes,meduim,zero,5,better,5,4,3
37,No,Non-Travel,Research & Development,Doctorate,Medical,meduim,high,two,Research Scientist,high,Married,4449,Yes,low,two,15,better,13,11,7
31,No,Travel_Rarely,Research & Development,some_college,Life Sciences,very_high,meduim,one,Laboratory Technician,low,Married,2218,No,high,one,4,better,4,2,2
39,No,Travel_Frequently,Research & Development,no_college,Life Sciences,meduim,high,five,Manager,high,Divorced,19197,Yes,high,one,21,better,21,8,6
56,No,Travel_Frequently,Sales,bachelors_degree,Life Sciences,high,very_high,four,Sales Executive,low,Married,13212,No,very_high,three,36,good,7,7,7
30,No,Travel_Rarely,Sales,bachelors_degree,Technical Degree,meduim,high,two,Sales Executive,high,Single,6577,No,meduim,zero,6,better,5,4,4
41,No,Travel_Rarely,Sales,bachelors_degree,Marketing,meduim,very_high,three,Sales Executive,low,Married,8392,No,high,one,10,better,10,7,7
28,No,Travel_Rarely,Research & Development,some_college,Medical,high,high,two,Laboratory Technician,low,Divorced,4558,No,very_high,one,10,better,10,0,8
25,Yes,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,high,one,Laboratory Technician,low,Married,4031,No,high,one,6,better,2,2,2
52,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,meduim,three,Manufacturing Director,high,Married,7969,Yes,high,zero,28,better,5,4,4
45,No,Travel_Rarely,Research & Development,some_college,Life Sciences,low,high,one,Research Scientist,very_high,Married,2654,No,very_high,two,8,good,2,2,2
52,No,Travel_Rarely,Research & Development,some_college,Life Sciences,very_high,high,four,Manager,very_high,Married,16555,No,very_high,zero,31,bad,5,2,4
42,No,Travel_Frequently,Research & Development,some_college,Life Sciences,low,high,two,Research Scientist,high,Divorced,4556,No,meduim,one,19,better,5,4,2
30,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,low,two,Manufacturing Director,very_high,Single,6091,No,high,zero,11,better,5,4,2
60,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,five,Manager,low,Married,19566,No,very_high,zero,33,bad,29,8,10
46,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,two,Manufacturing Director,high,Divorced,4810,No,high,one,19,good,10,7,8
42,No,Travel_Frequently,Research & Development,masters_degree,Technical Degree,very_high,meduim,two,Healthcare Representative,very_high,Married,4523,No,very_high,three,7,best,6,5,4
24,Yes,Travel_Rarely,Sales,no_college,Technical Degree,low,high,one,Sales Representative,meduim,Single,3202,Yes,meduim,zero,6,better,5,3,4
34,Yes,Travel_Frequently,Sales,some_college,Marketing,very_high,low,one,Sales Representative,high,Divorced,2351,No,very_high,one,3,good,2,2,0
38,No,Travel_Frequently,Research & Development,some_college,Life Sciences,very_high,high,one,Laboratory Technician,very_high,Married,1702,Yes,high,one,1,better,1,0,0
40,No,Travel_Rarely,Sales,masters_degree,Life Sciences,high,high,five,Manager,high,Married,18041,No,very_high,zero,21,better,20,15,12
26,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,one,Research Scientist,very_high,Divorced,2886,No,meduim,two,3,bad,3,2,2
30,No,Non-Travel,Research & Development,bachelors_degree,Life Sciences,high,high,one,Laboratory Technician,very_high,Married,2097,No,high,one,9,bad,5,3,4
29,No,Travel_Rarely,Research & Development,masters_degree,Medical,meduim,meduim,three,Research Director,high,Married,11935,No,high,zero,10,better,10,2,7
29,Yes,Travel_Rarely,Research & Development,Doctorate,Technical Degree,high,meduim,one,Research Scientist,meduim,Married,2546,No,meduim,zero,6,best,2,2,1
19,Yes,Travel_Rarely,Human Resources,some_college,Technical Degree,low,meduim,one,Human Resources,very_high,Single,2564,No,high,zero,1,best,1,0,0
30,No,Non-Travel,Sales,masters_degree,Other,high,high,three,Sales Executive,low,Married,8412,No,high,zero,10,better,9,8,8
57,No,Travel_Rarely,Sales,bachelors_degree,Marketing,low,meduim,four,Manager,very_high,Divorced,14118,No,high,one,32,good,1,0,0
50,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,meduim,four,Manager,high,Married,17046,No,meduim,one,28,better,27,10,7
30,No,Non-Travel,Research & Development,bachelors_degree,Medical,high,high,one,Laboratory Technician,very_high,Single,2564,No,high,zero,12,good,11,7,7
60,No,Travel_Frequently,Sales,bachelors_degree,Marketing,high,meduim,three,Sales Executive,low,Married,10266,No,very_high,zero,22,best,18,13,11
47,No,Travel_Rarely,Research & Development,some_college,Medical,low,high,two,Manufacturing Director,very_high,Divorced,5070,No,high,three,20,better,5,0,4
46,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,low,high,four,Research Director,high,Married,17861,No,high,zero,26,bad,3,2,1
35,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,low,one,Laboratory Technician,high,Single,4230,No,high,zero,6,better,5,4,3
54,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,high,two,Laboratory Technician,high,Single,3780,No,high,zero,19,better,1,0,0
34,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,meduim,one,Research Scientist,high,Divorced,2768,No,high,one,14,better,7,3,7
46,No,Travel_Rarely,Sales,bachelors_degree,Marketing,high,meduim,three,Sales Executive,very_high,Married,9071,Yes,high,one,15,better,3,2,2
31,No,Travel_Rarely,Research & Development,no_college,Life Sciences,high,high,three,Manufacturing Director,meduim,Divorced,10648,No,very_high,one,13,best,13,8,8
33,Yes,Travel_Rarely,Research & Development,no_college,Medical,meduim,high,three,Manager,high,Married,13610,Yes,very_high,zero,15,best,7,6,7
33,Yes,Travel_Rarely,Research & Development,no_college,Medical,low,low,one,Laboratory Technician,very_high,Divorced,3408,No,low,three,8,better,4,3,3
30,No,Travel_Rarely,Sales,no_college,Marketing,very_high,high,one,Sales Representative,meduim,Single,2983,No,low,zero,4,better,3,2,2
35,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,high,three,Healthcare Representative,high,Married,7632,Yes,high,zero,10,better,8,7,0
31,Yes,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,high,three,Healthcare Representative,high,Married,9824,No,low,zero,12,better,1,0,0
34,Yes,Travel_Frequently,Human Resources,bachelors_degree,Human Resources,meduim,high,three,Human Resources,low,Divorced,9950,Yes,high,three,11,better,3,2,2
42,No,Travel_Frequently,Research & Development,some_college,Other,meduim,high,one,Laboratory Technician,high,Married,2093,No,very_high,one,8,better,2,2,0
36,No,Non-Travel,Sales,masters_degree,Medical,meduim,high,three,Sales Executive,very_high,Single,9980,No,very_high,zero,10,good,10,3,7
22,Yes,Travel_Frequently,Research & Development,no_college,Technical Degree,high,meduim,one,Laboratory Technician,high,Single,3894,No,high,zero,4,better,2,2,2
48,No,Travel_Rarely,Sales,Doctorate,Marketing,meduim,high,two,Sales Executive,very_high,Married,4051,No,low,one,14,better,9,7,7
55,No,Travel_Rarely,Sales,Doctorate,Life Sciences,low,high,four,Manager,meduim,Single,16835,No,very_high,zero,37,better,10,9,7
41,No,Non-Travel,Sales,some_college,Life Sciences,very_high,high,two,Sales Executive,very_high,Single,6230,No,very_high,zero,16,better,14,3,10
35,No,Travel_Rarely,Sales,bachelors_degree,Marketing,meduim,high,two,Sales Executive,high,Married,4717,No,high,zero,15,better,11,9,9
40,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,meduim,high,four,Manufacturing Director,high,Single,13237,No,high,zero,22,better,20,6,13
39,No,Travel_Frequently,Research & Development,no_college,Life Sciences,high,high,one,Laboratory Technician,high,Married,3755,No,low,one,8,better,8,3,7
31,No,Travel_Rarely,Sales,no_college,Life Sciences,meduim,high,two,Sales Executive,very_high,Single,6582,Yes,high,zero,10,best,6,5,5
42,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,very_high,high,three,Manufacturing Director,low,Married,7406,Yes,very_high,one,10,good,10,9,8
45,No,Travel_Rarely,Sales,bachelors_degree,Other,very_high,high,two,Sales Executive,meduim,Married,4805,No,meduim,one,9,best,8,7,7
26,Yes,Travel_Frequently,Human Resources,masters_degree,Life Sciences,meduim,high,one,Human Resources,high,Divorced,2741,Yes,meduim,one,8,good,7,7,0
29,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,very_high,high,two,Manufacturing Director,very_high,Divorced,4262,No,meduim,two,8,best,3,2,2
33,No,Travel_Rarely,Research & Development,Doctorate,Medical,low,very_high,four,Research Director,high,Divorced,16184,No,high,one,10,better,6,1,5
31,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,high,meduim,three,Manager,very_high,Divorced,11557,No,high,one,10,good,5,4,1
18,Yes,Travel_Frequently,Sales,bachelors_degree,Marketing,meduim,high,one,Sales Representative,meduim,Single,1878,Yes,very_high,zero,0,better,0,0,0
40,No,Non-Travel,Sales,bachelors_degree,Other,high,low,three,Sales Executive,low,Divorced,10932,No,high,one,20,better,1,0,1
41,No,Non-Travel,Research & Development,masters_degree,Other,low,meduim,two,Healthcare Representative,high,Single,6811,Yes,low,zero,10,better,8,7,7
26,No,Travel_Rarely,Sales,some_college,Medical,low,high,two,Sales Executive,high,Divorced,4306,No,low,two,8,better,0,0,0
35,No,Travel_Rarely,Sales,bachelors_degree,Medical,low,high,two,Sales Executive,high,Single,4859,No,very_high,zero,5,better,5,4,3
34,No,Travel_Rarely,Sales,masters_degree,Life Sciences,very_high,very_high,two,Sales Executive,very_high,Single,5337,No,very_high,zero,10,better,10,7,7
26,Yes,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,high,low,one,Laboratory Technician,very_high,Single,2340,Yes,meduim,zero,1,bad,1,0,0
37,No,Travel_Rarely,Research & Development,bachelors_degree,Technical Degree,meduim,high,three,Manufacturing Director,very_high,Single,7491,No,very_high,zero,12,best,6,5,2
46,No,Travel_Frequently,Research & Development,no_college,Medical,low,high,three,Healthcare Representative,high,Married,10527,No,very_high,zero,28,good,2,2,2
41,No,Travel_Rarely,Sales,Doctorate,Life Sciences,meduim,high,four,Manager,low,Married,16595,No,meduim,one,22,better,18,16,8
37,No,Non-Travel,Sales,masters_degree,Medical,low,high,three,Sales Executive,meduim,Divorced,8834,No,very_high,one,9,better,9,5,7
52,No,Travel_Rarely,Research & Development,some_college,Technical Degree,very_high,high,two,Research Scientist,low,Divorced,5577,Yes,meduim,two,18,better,10,9,9
32,Yes,Non-Travel,Sales,masters_degree,Other,very_high,very_high,two,Sales Executive,high,Married,4707,No,very_high,zero,6,better,4,2,2
24,No,Travel_Frequently,Sales,bachelors_degree,Medical,very_high,high,one,Sales Representative,very_high,Married,2400,No,high,two,3,better,2,2,1
38,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,high,high,two,Healthcare Representative,high,Married,9824,No,high,one,18,better,1,0,0
37,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,high,two,Manufacturing Director,meduim,Married,6447,No,meduim,one,8,good,6,5,3
49,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,meduim,five,Research Director,high,Divorced,19502,Yes,high,one,31,better,31,9,9
24,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,meduim,very_high,one,Research Scientist,very_high,Married,2725,Yes,meduim,two,6,better,6,5,4
26,No,Travel_Rarely,Sales,some_college,Marketing,low,high,two,Sales Executive,meduim,Married,6272,No,very_high,two,6,best,5,3,4
24,No,Travel_Rarely,Research & Development,some_college,Other,very_high,meduim,one,Laboratory Technician,meduim,Married,2127,No,very_high,one,1,better,1,0,0
50,No,Travel_Frequently,Human Resources,bachelors_degree,Medical,low,high,five,Manager,meduim,Married,18200,No,high,one,32,better,32,5,7
25,No,Travel_Rarely,Sales,no_college,Medical,meduim,high,one,Sales Representative,high,Married,2096,No,high,zero,7,better,7,4,6
24,Yes,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,high,one,Laboratory Technician,high,Married,2886,Yes,very_high,one,6,better,6,3,2
30,Yes,Travel_Frequently,Sales,masters_degree,Life Sciences,meduim,meduim,one,Sales Representative,low,Married,2033,No,high,one,1,best,1,0,0
34,No,Travel_Rarely,Research & Development,some_college,Life Sciences,meduim,meduim,one,Research Scientist,very_high,Married,3622,Yes,very_high,one,6,better,6,5,3
31,Yes,Travel_Rarely,Sales,masters_degree,Medical,meduim,high,two,Sales Executive,low,Divorced,4233,No,high,zero,9,bad,3,1,2
35,No,Travel_Rarely,Research & Development,some_college,Other,low,meduim,two,Laboratory Technician,very_high,Single,3681,No,very_high,zero,9,better,3,2,2
31,No,Travel_Rarely,Sales,masters_degree,Medical,low,very_high,two,Sales Executive,very_high,Divorced,5460,No,very_high,two,13,best,7,7,7
27,No,Travel_Rarely,Research & Development,masters_degree,Medical,low,meduim,one,Research Scientist,high,Divorced,2187,No,high,two,6,good,5,3,3
37,No,Travel_Rarely,Sales,bachelors_degree,Marketing,very_high,high,two,Sales Executive,high,Married,9602,Yes,high,one,17,good,3,0,0
20,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,very_high,meduim,one,Research Scientist,meduim,Single,2836,No,very_high,zero,1,best,1,0,0
42,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,high,high,two,Healthcare Representative,very_high,Married,4089,No,meduim,two,10,better,10,2,2
43,No,Travel_Rarely,Research & Development,masters_degree,Other,meduim,meduim,four,Research Director,very_high,Divorced,16627,Yes,high,one,21,good,1,0,0
38,No,Travel_Rarely,Research & Development,no_college,Life Sciences,high,high,one,Research Scientist,low,Single,2619,No,very_high,zero,8,good,0,0,0
43,No,Travel_Frequently,Research & Development,Doctorate,Medical,very_high,high,two,Laboratory Technician,high,Divorced,5679,Yes,meduim,one,10,better,8,7,7
48,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,very_high,meduim,four,Manager,low,Married,15402,No,low,one,21,bad,3,2,2
44,No,Travel_Rarely,Human Resources,masters_degree,Life Sciences,low,meduim,two,Human Resources,high,Single,5985,No,meduim,zero,10,best,2,2,2
34,No,Travel_Rarely,Sales,bachelors_degree,Technical Degree,high,high,one,Sales Representative,high,Divorced,2579,Yes,very_high,two,8,better,8,2,6
27,Yes,Travel_Rarely,Sales,no_college,Marketing,high,high,one,Sales Representative,low,Divorced,3041,No,meduim,one,5,better,4,3,2
21,No,Travel_Rarely,Sales,no_college,Technical Degree,high,high,one,Sales Representative,high,Single,3447,No,high,zero,3,better,3,2,2
44,No,Travel_Rarely,Research & Development,masters_degree,Other,very_high,high,five,Manager,very_high,Married,19513,Yes,low,one,26,best,2,2,1
22,No,Travel_Rarely,Research & Development,no_college,Medical,low,high,one,Research Scientist,high,Married,2773,No,very_high,zero,3,better,2,2,2
33,No,Travel_Rarely,Sales,masters_degree,Marketing,high,high,two,Sales Executive,high,Divorced,7104,No,very_high,zero,6,better,5,0,2
32,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,low,high,two,Research Scientist,very_high,Married,6322,Yes,very_high,one,6,good,6,4,5
30,No,Travel_Frequently,Research & Development,bachelors_degree,Medical,high,high,one,Research Scientist,high,Divorced,2083,No,high,one,1,better,1,0,0
53,No,Travel_Rarely,Sales,no_college,Medical,very_high,high,two,Sales Executive,low,Single,8381,No,very_high,zero,18,best,14,7,10
34,No,Travel_Rarely,Research & Development,Doctorate,Life Sciences,meduim,high,one,Research Scientist,very_high,Married,2691,No,very_high,one,10,good,10,9,8
45,Yes,Travel_Frequently,Sales,masters_degree,Life Sciences,low,high,two,Sales Executive,low,Married,4286,No,very_high,two,5,better,1,1,0
26,No,Travel_Rarely,Research & Development,bachelors_degree,Life Sciences,high,high,one,Laboratory Technician,very_high,Married,2659,Yes,high,one,3,better,3,2,2
37,No,Travel_Rarely,Research & Development,bachelors_degree,Other,high,high,three,Manufacturing Director,high,Married,9434,No,high,one,10,better,10,7,8
29,No,Travel_Rarely,Sales,some_college,Medical,meduim,high,two,Sales Executive,high,Married,5561,No,low,one,6,good,6,0,2
35,No,Travel_Rarely,Research & Development,masters_degree,Life Sciences,meduim,low,two,Research Scientist,very_high,Single,6646,No,meduim,zero,17,better,17,11,8
33,No,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,high,high,two,Healthcare Representative,very_high,Divorced,7725,No,high,one,15,bad,13,11,7
54,No,Travel_Rarely,Human Resources,masters_degree,Medical,high,high,three,Human Resources,meduim,Married,10725,No,high,one,16,best,9,7,1
36,No,Travel_Rarely,Research & Development,some_college,Medical,meduim,meduim,two,Manufacturing Director,meduim,Divorced,8847,Yes,high,one,13,better,3,2,2
27,No,Travel_Rarely,Research & Development,masters_degree,Medical,low,meduim,one,Research Scientist,very_high,Single,2045,No,very_high,zero,5,better,4,2,1
20,Yes,Travel_Rarely,Research & Development,no_college,Medical,very_high,high,one,Research Scientist,high,Single,1009,Yes,very_high,zero,1,better,1,0,1
33,Yes,Travel_Frequently,Research & Development,bachelors_degree,Life Sciences,low,high,one,Research Scientist,low,Single,3348,Yes,low,zero,10,better,10,8,7
35,No,Non-Travel,Research & Development,bachelors_degree,Life Sciences,high,meduim,one,Laboratory Technician,high,Married,1281,No,high,two,1,better,1,0,0
23,No,Travel_Rarely,Research & Development,bachelors_degree,Medical,low,very_high,one,Research Scientist,low,Married,2819,No,low,one,5,best,3,2,2
25,No,Travel_Rarely,Sales,bachelors_degree,Life Sciences,very_high,very_high,two,Sales Executive,meduim,Married,4851,No,high,one,4,better,3,2,2
38,No,Travel_Rarely,Sales,masters_degree,Marketing,very_high,meduim,two,Sales Executive,very_high,Single,4028,No,low,zero,8,better,7,7,5
29,No,Travel_Frequently,Research & Development,masters_degree,Life Sciences,meduim,low,one,Research Scientist,very_high,Divorced,2720,No,very_high,one,10,better,10,7,8
48,No,Travel_Rarely,Sales,no_college,Marketing,meduim,very_high,two,Sales Executive,meduim,Married,8120,No,very_high,zero,12,better,2,2,2
27,No,Travel_Frequently,Sales,no_college,Medical,very_high,very_high,two,Sales Executive,very_high,Divorced,4647,Yes,meduim,two,6,better,6,5,4
37,No,Travel_Rarely,Research & Development,some_college,Life Sciences,very_high,very_high,one,Research Scientist,very_high,Single,4680,No,low,zero,4,better,1,0,0
50,No,Travel_Rarely,Research & Development,no_college,Medical,very_high,very_high,one,Laboratory Technician,high,Married,3221,Yes,high,three,20,better,20,8,8
