Age,Attrition,BusinessTravel,Education,EducationField,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,YearsAtCompany
32,No,Non-Travel,masters_degree,Marketing,high,high,two,Sales Executive,very_high,4465,No,low,zero,better,3
41,No,Travel_Rarely,some_college,Life Sciences,high,high,two,Research Scientist,low,3072,No,low,two,good,1
40,No,Travel_Rarely,some_college,Technical Degree,low,high,two,Research Scientist,very_high,3319,No,low,two,better,9
45,No,Travel_Rarely,bachelors_degree,Other,high,very_high,five,Manager,very_high,19202,No,high,one,better,24
31,No,Travel_Frequently,masters_degree,Medical,meduim,high,three,Research Director,high,13675,No,low,one,better,2
33,No,Travel_Rarely,masters_degree,Life Sciences,high,meduim,one,Research Scientist,very_high,2911,No,high,one,good,2
34,No,Travel_Rarely,masters_degree,Life Sciences,very_high,meduim,two,Manufacturing Director,low,5957,No,meduim,one,better,11
37,No,Travel_Rarely,some_college,Medical,high,meduim,one,Research Scientist,low,3920,No,low,one,good,3
45,No,Travel_Frequently,masters_degree,Life Sciences,low,very_high,two,Manufacturing Director,high,6434,No,very_high,one,better,3
37,Yes,Travel_Frequently,bachelors_degree,Medical,low,high,three,Manufacturing Director,high,10048,No,meduim,two,better,1
39,No,Travel_Frequently,masters_degree,Technical Degree,high,high,three,Healthcare Representative,high,10938,No,very_high,zero,better,19
29,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,very_high,2340,No,low,zero,better,6
42,No,Travel_Rarely,some_college,Life Sciences,very_high,very_high,two,Research Scientist,low,6545,Yes,high,zero,better,3
29,No,Travel_Rarely,some_college,Marketing,very_high,high,two,Sales Executive,very_high,6931,No,very_high,one,better,3
25,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,two,Manufacturing Director,high,4898,No,very_high,two,better,4
42,No,Travel_Rarely,bachelors_degree,Medical,very_high,meduim,one,Laboratory Technician,low,2593,Yes,high,one,better,9
40,No,Travel_Rarely,some_college,Medical,low,high,five,Research Director,high,19436,No,very_high,one,better,21
51,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,very_high,2723,No,meduim,zero,good,1
31,Yes,Travel_Frequently,some_college,Medical,high,meduim,one,Laboratory Technician,meduim,3479,No,meduim,zero,best,5
32,No,Travel_Frequently,bachelors_degree,Life Sciences,meduim,very_high,one,Laboratory Technician,meduim,2794,No,high,zero,bad,5
38,No,Non-Travel,some_college,Life Sciences,very_high,meduim,two,Sales Executive,very_high,5249,No,very_high,one,better,8
32,No,Travel_Rarely,no_college,Technical Degree,very_high,meduim,two,Laboratory Technician,low,2176,No,very_high,zero,better,6
46,No,Travel_Rarely,bachelors_degree,Technical Degree,high,low,four,Manager,meduim,16872,Yes,meduim,one,good,7
28,Yes,Travel_Rarely,masters_degree,Life Sciences,low,high,one,Laboratory Technician,high,3485,No,high,zero,bad,0
29,No,Travel_Rarely,bachelors_degree,Medical,low,meduim,two,Sales Executive,meduim,6644,No,meduim,two,better,0
31,No,Travel_Rarely,bachelors_degree,Medical,meduim,meduim,two,Healthcare Representative,very_high,5582,No,meduim,one,better,9
25,No,Non-Travel,some_college,Life Sciences,meduim,very_high,two,Healthcare Representative,low,4000,No,very_high,two,better,6
45,No,Travel_Rarely,some_college,Medical,high,high,four,Healthcare Representative,very_high,13496,Yes,meduim,zero,better,20
36,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Laboratory Technician,very_high,3210,No,high,one,better,15
47,Yes,Non-Travel,masters_degree,Life Sciences,low,high,three,Manager,meduim,11849,Yes,very_high,one,good,10
28,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,one,Research Scientist,very_high,2070,No,very_high,one,good,5
37,No,Travel_Rarely,masters_degree,Medical,high,high,two,Sales Executive,very_high,6502,No,meduim,one,best,5
21,No,Travel_Rarely,some_college,Medical,very_high,meduim,one,Research Scientist,high,3230,No,low,zero,best,3
37,No,Non-Travel,masters_degree,Medical,low,high,three,Research Director,very_high,13603,Yes,low,two,better,5
35,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,very_high,three,Manager,meduim,11996,No,meduim,one,good,7
38,No,Travel_Rarely,some_college,Medical,low,very_high,two,Sales Executive,low,5605,Yes,high,one,better,8
26,No,Travel_Frequently,bachelors_degree,Life Sciences,high,high,two,Manufacturing Director,meduim,6397,No,low,one,bad,6
50,No,Travel_Rarely,no_college,Life Sciences,low,high,five,Research Director,meduim,19144,No,low,two,good,10
53,No,Travel_Rarely,masters_degree,Medical,high,high,four,Research Director,high,17584,Yes,very_high,three,good,5
42,No,Travel_Rarely,no_college,Life Sciences,meduim,high,two,Sales Executive,high,4907,No,high,zero,better,20
29,No,Travel_Frequently,some_college,Life Sciences,meduim,high,two,Sales Executive,very_high,4554,No,low,zero,good,10
55,No,Travel_Rarely,some_college,Technical Degree,meduim,high,two,Laboratory Technician,very_high,5415,Yes,very_high,one,better,10
26,No,Travel_Frequently,some_college,Medical,low,high,two,Healthcare Representative,low,4741,Yes,high,one,better,5
37,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,very_high,2115,No,meduim,zero,better,17
44,Yes,Travel_Frequently,bachelors_degree,Life Sciences,very_high,high,one,Laboratory Technician,high,3161,Yes,very_high,one,bad,1
38,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,two,Healthcare Representative,very_high,5745,No,meduim,one,better,2
26,Yes,Travel_Rarely,masters_degree,Medical,low,high,one,Laboratory Technician,meduim,2373,Yes,very_high,one,better,3
28,No,Travel_Rarely,some_college,Life Sciences,very_high,high,one,Research Scientist,very_high,3310,No,very_high,zero,better,5
49,No,Travel_Frequently,masters_degree,Life Sciences,high,high,five,Research Director,low,18665,Yes,very_high,zero,better,3
36,No,Travel_Rarely,bachelors_degree,Technical Degree,high,high,two,Research Scientist,meduim,4485,No,very_high,zero,better,8
31,No,Travel_Frequently,bachelors_degree,Marketing,very_high,high,one,Sales Representative,meduim,2789,No,high,one,good,2
26,Yes,Travel_Rarely,masters_degree,Marketing,very_high,meduim,two,Sales Executive,very_high,5828,Yes,meduim,zero,better,8
37,No,Travel_Frequently,bachelors_degree,Medical,meduim,high,one,Research Scientist,very_high,2326,Yes,high,three,good,4
42,No,Travel_Frequently,bachelors_degree,Marketing,high,high,four,Sales Executive,meduim,13525,No,very_high,one,best,20
18,Yes,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Laboratory Technician,high,1420,No,high,zero,better,0
35,No,Travel_Rarely,bachelors_degree,Marketing,high,high,three,Sales Executive,meduim,8020,No,high,two,good,11
36,No,Travel_Frequently,masters_degree,Life Sciences,high,very_high,one,Laboratory Technician,very_high,3688,No,very_high,two,better,1
51,No,Travel_Rarely,bachelors_degree,Medical,very_high,low,two,Manufacturing Director,meduim,5482,No,very_high,one,better,4
41,No,Travel_Rarely,masters_degree,Life Sciences,very_high,high,four,Manager,meduim,16015,No,meduim,zero,better,22
18,No,Travel_Rarely,bachelors_degree,Medical,very_high,meduim,one,Sales Representative,high,1200,No,low,zero,better,0
28,No,Travel_Rarely,some_college,Medical,meduim,very_high,two,Healthcare Representative,low,5661,No,high,zero,better,8
31,No,Travel_Rarely,bachelors_degree,Technical Degree,meduim,very_high,two,Sales Executive,very_high,6929,No,meduim,one,good,8
39,No,Travel_Rarely,bachelors_degree,Medical,high,very_high,three,Healthcare Representative,very_high,9613,No,low,three,good,18
36,No,Non-Travel,masters_degree,Life Sciences,meduim,high,two,Laboratory Technician,meduim,5674,No,high,one,better,9
32,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,meduim,two,Sales Executive,high,5484,No,high,one,good,13
38,No,Travel_Rarely,some_college,Life Sciences,low,meduim,three,Research Director,meduim,12061,No,high,one,better,10
58,No,Non-Travel,masters_degree,Life Sciences,very_high,low,two,Healthcare Representative,high,5660,Yes,very_high,one,better,5
31,No,Travel_Rarely,masters_degree,Technical Degree,high,high,one,Research Scientist,very_high,4821,Yes,high,one,better,5
31,No,Travel_Rarely,bachelors_degree,Human Resources,low,meduim,two,Human Resources,low,6410,No,very_high,zero,better,2
45,No,Travel_Frequently,bachelors_degree,Life Sciences,low,high,three,Laboratory Technician,low,5210,No,low,one,better,24
31,No,Travel_Rarely,masters_degree,Life Sciences,high,high,one,Research Scientist,very_high,2695,Yes,meduim,one,bad,2
33,No,Travel_Frequently,masters_degree,Life Sciences,very_high,high,three,Manager,meduim,11878,No,meduim,two,better,10
39,No,Travel_Rarely,no_college,Medical,high,high,four,Manager,low,17068,Yes,very_high,zero,better,21
43,No,Travel_Frequently,masters_degree,Life Sciences,high,high,one,Laboratory Technician,very_high,2455,No,low,zero,better,8
49,No,Travel_Rarely,some_college,Technical Degree,high,meduim,four,Healthcare Representative,high,13964,Yes,very_high,zero,better,7
52,Yes,Travel_Rarely,masters_degree,Medical,high,meduim,two,Research Scientist,meduim,4941,No,low,zero,good,8
27,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,one,Research Scientist,meduim,2478,Yes,meduim,zero,good,4
32,No,Travel_Rarely,some_college,Technical Degree,high,meduim,two,Sales Executive,meduim,5228,Yes,very_high,zero,better,13
27,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,two,Sales Executive,high,4478,Yes,low,zero,better,5
31,No,Travel_Rarely,bachelors_degree,Marketing,very_high,high,two,Sales Executive,very_high,7547,No,very_high,three,better,7
32,No,Travel_Rarely,masters_degree,Medical,low,very_high,two,Research Scientist,very_high,5055,No,high,zero,good,7
28,Yes,Travel_Rarely,masters_degree,Medical,low,low,one,Research Scientist,very_high,3464,Yes,very_high,zero,good,3
30,No,Travel_Rarely,some_college,Medical,very_high,high,two,Research Scientist,very_high,5775,No,very_high,two,better,10
31,No,Travel_Frequently,some_college,Life Sciences,high,meduim,three,Manufacturing Director,high,8943,No,low,one,better,10
39,No,Travel_Frequently,some_college,Medical,high,meduim,five,Manager,very_high,19272,No,low,one,better,21
39,Yes,Travel_Rarely,some_college,Medical,very_high,high,two,Sales Executive,high,5238,Yes,low,zero,good,1
33,No,Travel_Frequently,bachelors_degree,Marketing,meduim,meduim,two,Sales Executive,very_high,4682,No,high,zero,good,7
47,No,Travel_Rarely,Doctorate,Life Sciences,very_high,high,five,Research Director,high,18300,No,meduim,one,better,3
43,No,Travel_Frequently,masters_degree,Life Sciences,high,meduim,two,Laboratory Technician,high,5257,No,meduim,one,best,9
27,No,Non-Travel,no_college,Marketing,high,high,two,Sales Executive,meduim,6349,Yes,very_high,one,better,5
54,No,Travel_Frequently,masters_degree,Life Sciences,very_high,high,two,Research Scientist,high,4869,No,very_high,zero,good,4
43,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,three,Healthcare Representative,low,9985,No,low,one,good,1
45,No,Travel_Rarely,masters_degree,Other,very_high,high,two,Research Scientist,very_high,3697,No,low,two,better,10
40,No,Travel_Rarely,some_college,Medical,meduim,low,two,Sales Executive,very_high,7457,Yes,high,three,good,4
29,Yes,Travel_Rarely,masters_degree,Other,meduim,low,one,Laboratory Technician,low,2119,Yes,very_high,zero,good,7
29,No,Travel_Rarely,Doctorate,Other,meduim,meduim,one,Laboratory Technician,very_high,3983,No,high,zero,better,3
30,No,Travel_Rarely,bachelors_degree,Marketing,very_high,meduim,two,Sales Executive,high,6118,No,high,three,better,10
27,No,Travel_Rarely,masters_degree,Marketing,meduim,high,two,Sales Executive,meduim,6214,No,low,one,better,8
37,No,Travel_Rarely,some_college,Medical,very_high,high,two,Manufacturing Director,very_high,6347,No,high,two,good,6
38,No,Travel_Rarely,some_college,Life Sciences,high,meduim,three,Research Director,very_high,11510,Yes,meduim,one,better,11
31,No,Travel_Rarely,masters_degree,Medical,high,high,three,Manufacturing Director,very_high,7143,Yes,high,zero,good,11
29,No,Travel_Rarely,no_college,Marketing,very_high,meduim,two,Sales Executive,meduim,8268,Yes,low,two,better,7
35,No,Travel_Rarely,masters_degree,Technical Degree,high,high,three,Manufacturing Director,meduim,8095,No,very_high,zero,better,16
23,No,Travel_Rarely,no_college,Life Sciences,high,high,one,Research Scientist,very_high,2904,No,high,two,good,4
41,No,Travel_Rarely,bachelors_degree,Medical,very_high,meduim,two,Manufacturing Director,meduim,6032,Yes,very_high,zero,better,5
47,No,Travel_Frequently,no_college,Medical,meduim,high,two,Sales Representative,high,2976,No,low,zero,better,0
42,No,Travel_Rarely,Doctorate,Life Sciences,low,high,four,Research Director,very_high,15992,No,meduim,zero,better,1
29,No,Non-Travel,bachelors_degree,Life Sciences,very_high,high,two,Sales Executive,high,4649,No,low,one,good,4
42,No,Travel_Rarely,no_college,Technical Degree,high,high,one,Human Resources,high,2696,Yes,high,one,better,3
32,No,Travel_Rarely,bachelors_degree,Medical,high,high,one,Laboratory Technician,meduim,2370,No,high,one,better,8
48,No,Travel_Rarely,no_college,Medical,low,high,three,Manager,high,12504,No,meduim,one,bad,0
37,No,Travel_Rarely,bachelors_degree,Medical,high,very_high,two,Research Scientist,low,5974,Yes,low,two,better,7
30,No,Non-Travel,some_college,Technical Degree,very_high,high,two,Sales Executive,high,4736,Yes,meduim,one,best,2
26,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,two,Sales Executive,high,5296,No,meduim,one,better,8
42,No,Travel_Rarely,masters_degree,Other,low,meduim,two,Healthcare Representative,very_high,6781,No,meduim,zero,better,1
21,Yes,Travel_Frequently,no_college,Technical Degree,low,meduim,one,Sales Representative,meduim,2174,Yes,high,zero,better,3
36,No,Non-Travel,Doctorate,Medical,very_high,high,two,Sales Executive,very_high,6653,No,meduim,zero,better,1
36,No,Travel_Frequently,masters_degree,Medical,low,meduim,three,Sales Executive,very_high,9699,No,low,one,better,13
57,No,Travel_Rarely,masters_degree,Medical,very_high,high,two,Healthcare Representative,high,6755,No,high,zero,better,3
40,No,Travel_Rarely,masters_degree,Life Sciences,very_high,very_high,one,Laboratory Technician,high,2213,Yes,high,one,better,7
21,No,Non-Travel,some_college,Medical,low,high,one,Sales Representative,very_high,2610,No,high,zero,good,3
33,Yes,Travel_Rarely,bachelors_degree,Marketing,very_high,high,one,Sales Representative,high,2851,Yes,meduim,zero,better,1
37,No,Travel_Rarely,bachelors_degree,Medical,high,high,one,Laboratory Technician,low,3452,No,meduim,one,better,5
46,No,Non-Travel,masters_degree,Medical,high,high,two,Manufacturing Director,high,5258,No,high,zero,best,1
41,Yes,Travel_Frequently,bachelors_degree,Marketing,low,high,two,Sales Executive,meduim,9355,No,high,zero,better,8
50,No,Travel_Rarely,bachelors_degree,Technical Degree,very_high,meduim,three,Healthcare Representative,very_high,10496,No,very_high,zero,better,4
40,Yes,Travel_Rarely,some_college,Marketing,high,meduim,two,Sales Executive,high,6380,Yes,low,two,better,6
31,No,Travel_Rarely,masters_degree,Life Sciences,high,meduim,one,Research Scientist,meduim,2657,Yes,very_high,zero,better,2
21,Yes,Travel_Rarely,bachelors_degree,Life Sciences,high,very_high,one,Sales Representative,meduim,2716,No,very_high,zero,better,1
29,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,very_high,2201,No,very_high,zero,better,3
35,No,Travel_Rarely,masters_degree,Life Sciences,high,meduim,two,Healthcare Representative,meduim,6540,No,high,zero,better,1
27,No,Travel_Rarely,some_college,Medical,very_high,high,one,Laboratory Technician,meduim,3816,No,meduim,one,better,5
28,No,Travel_Rarely,masters_degree,Life Sciences,meduim,high,two,Sales Executive,very_high,5253,No,very_high,zero,better,7
49,No,Travel_Rarely,bachelors_degree,Other,meduim,meduim,three,Healthcare Representative,high,10965,No,high,zero,better,5
51,No,Travel_Rarely,some_college,Life Sciences,high,high,two,Sales Executive,very_high,4936,No,high,one,good,7
36,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Research Scientist,high,2543,No,meduim,one,better,2
34,Yes,Non-Travel,bachelors_degree,Marketing,low,very_high,two,Sales Executive,very_high,5304,Yes,meduim,zero,good,5
55,No,Travel_Rarely,bachelors_degree,Life Sciences,high,high,four,Manager,very_high,16659,Yes,high,zero,better,5
24,No,Travel_Rarely,masters_degree,Marketing,very_high,high,two,Sales Executive,high,4260,Yes,very_high,one,best,5
30,No,Travel_Rarely,no_college,Technical Degree,high,high,one,Sales Representative,meduim,2476,No,low,one,better,1
26,Yes,Travel_Frequently,no_college,Technical Degree,high,high,one,Research Scientist,low,3102,No,high,zero,better,6
22,No,Travel_Rarely,bachelors_degree,Medical,low,high,one,Research Scientist,meduim,2244,No,very_high,one,better,2
36,No,Travel_Rarely,some_college,Medical,meduim,meduim,three,Sales Executive,high,7596,No,meduim,two,better,10
30,Yes,Travel_Frequently,bachelors_degree,Technical Degree,high,high,one,Research Scientist,very_high,2285,Yes,high,zero,better,1
37,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,one,Laboratory Technician,low,3034,No,high,one,good,18
40,No,Travel_Rarely,some_college,Marketing,very_high,high,two,Sales Executive,meduim,5715,No,high,two,better,5
42,No,Travel_Rarely,masters_degree,Life Sciences,meduim,high,one,Laboratory Technician,low,2576,No,meduim,one,better,5
37,No,Travel_Rarely,masters_degree,Life Sciences,high,high,two,Manufacturing Director,meduim,4197,Yes,very_high,zero,good,1
43,No,Travel_Rarely,bachelors_degree,Life Sciences,low,meduim,four,Research Director,meduim,14336,No,high,one,better,25
40,No,Travel_Rarely,bachelors_degree,Medical,meduim,meduim,two,Laboratory Technician,high,3448,No,meduim,one,better,1
54,No,Travel_Rarely,some_college,Medical,low,high,five,Research Director,low,19406,No,high,one,good,4
34,No,Non-Travel,masters_degree,Marketing,high,high,two,Sales Executive,high,6538,No,low,one,better,3
31,No,Travel_Rarely,some_college,Medical,meduim,high,two,Manufacturing Director,low,4306,No,meduim,one,bad,13
43,No,Travel_Frequently,bachelors_degree,Medical,very_high,high,one,Laboratory Technician,very_high,2258,No,low,one,better,3
43,No,Travel_Rarely,masters_degree,Other,high,high,two,Healthcare Representative,high,4522,Yes,very_high,zero,better,5
25,No,Travel_Rarely,some_college,Life Sciences,meduim,meduim,two,Sales Executive,very_high,4487,Yes,meduim,zero,better,5
37,No,Non-Travel,Doctorate,Medical,meduim,high,two,Research Scientist,high,4449,Yes,low,two,better,13
31,No,Travel_Rarely,some_college,Life Sciences,very_high,meduim,one,Laboratory Technician,low,2218,No,high,one,better,4
39,No,Travel_Frequently,no_college,Life Sciences,meduim,high,five,Manager,high,19197,Yes,high,one,better,21
56,No,Travel_Frequently,bachelors_degree,Life Sciences,high,very_high,four,Sales Executive,low,13212,No,very_high,three,good,7
30,No,Travel_Rarely,bachelors_degree,Technical Degree,meduim,high,two,Sales Executive,high,6577,No,meduim,zero,better,5
41,No,Travel_Rarely,bachelors_degree,Marketing,meduim,very_high,three,Sales Executive,low,8392,No,high,one,better,10
28,No,Travel_Rarely,some_college,Medical,high,high,two,Laboratory Technician,low,4558,No,very_high,one,better,10
25,Yes,Travel_Rarely,bachelors_degree,Medical,low,high,one,Laboratory Technician,low,4031,No,high,one,better,2
52,No,Travel_Rarely,bachelors_degree,Medical,very_high,meduim,three,Manufacturing Director,high,7969,Yes,high,zero,better,5
45,No,Travel_Rarely,some_college,Life Sciences,low,high,one,Research Scientist,very_high,2654,No,very_high,two,good,2
52,No,Travel_Rarely,some_college,Life Sciences,very_high,high,four,Manager,very_high,16555,No,very_high,zero,bad,5
42,No,Travel_Frequently,some_college,Life Sciences,low,high,two,Research Scientist,high,4556,No,meduim,one,better,5
30,No,Travel_Rarely,bachelors_degree,Life Sciences,high,low,two,Manufacturing Director,very_high,6091,No,high,zero,better,5
46,No,Travel_Rarely,bachelors_degree,Medical,high,high,two,Manufacturing Director,high,4810,No,high,one,good,10
42,No,Travel_Frequently,masters_degree,Technical Degree,very_high,meduim,two,Healthcare Representative,very_high,4523,No,very_high,three,best,6
24,Yes,Travel_Rarely,no_college,Technical Degree,low,high,one,Sales Representative,meduim,3202,Yes,meduim,zero,better,5
34,Yes,Travel_Frequently,some_college,Marketing,very_high,low,one,Sales Representative,high,2351,No,very_high,one,good,2
38,No,Travel_Frequently,some_college,Life Sciences,very_high,high,one,Laboratory Technician,very_high,1702,Yes,high,one,better,1
40,No,Travel_Rarely,masters_degree,Life Sciences,high,high,five,Manager,high,18041,No,very_high,zero,better,20
26,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,one,Research Scientist,very_high,2886,No,meduim,two,bad,3
30,No,Non-Travel,bachelors_degree,Life Sciences,high,high,one,Laboratory Technician,very_high,2097,No,high,one,bad,5
29,No,Travel_Rarely,masters_degree,Medical,meduim,meduim,three,Research Director,high,11935,No,high,zero,better,10
29,Yes,Travel_Rarely,Doctorate,Technical Degree,high,meduim,one,Research Scientist,meduim,2546,No,meduim,zero,best,2
19,Yes,Travel_Rarely,some_college,Technical Degree,low,meduim,one,Human Resources,very_high,2564,No,high,zero,best,1
30,No,Non-Travel,masters_degree,Other,high,high,three,Sales Executive,low,8412,No,high,zero,better,9
57,No,Travel_Rarely,bachelors_degree,Marketing,low,meduim,four,Manager,very_high,14118,No,high,one,good,1
50,No,Travel_Rarely,masters_degree,Life Sciences,meduim,meduim,four,Manager,high,17046,No,meduim,one,better,27
30,No,Non-Travel,bachelors_degree,Medical,high,high,one,Laboratory Technician,very_high,2564,No,high,zero,good,11
60,No,Travel_Frequently,bachelors_degree,Marketing,high,meduim,three,Sales Executive,low,10266,No,very_high,zero,best,18
47,No,Travel_Rarely,some_college,Medical,low,high,two,Manufacturing Director,very_high,5070,No,high,three,better,5
46,No,Travel_Rarely,bachelors_degree,Life Sciences,low,high,four,Research Director,high,17861,No,high,zero,bad,3
35,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,low,one,Laboratory Technician,high,4230,No,high,zero,better,5
54,No,Travel_Rarely,masters_degree,Life Sciences,high,high,two,Laboratory Technician,high,3780,No,high,zero,better,1
34,No,Travel_Rarely,masters_degree,Life Sciences,very_high,meduim,one,Research Scientist,high,2768,No,high,one,better,7
46,No,Travel_Rarely,bachelors_degree,Marketing,high,meduim,three,Sales Executive,very_high,9071,Yes,high,one,better,3
31,No,Travel_Rarely,no_college,Life Sciences,high,high,three,Manufacturing Director,meduim,10648,No,very_high,one,best,13
33,Yes,Travel_Rarely,no_college,Medical,meduim,high,three,Manager,high,13610,Yes,very_high,zero,best,7
33,Yes,Travel_Rarely,no_college,Medical,low,low,one,Laboratory Technician,very_high,3408,No,low,three,better,4
30,No,Travel_Rarely,no_college,Marketing,very_high,high,one,Sales Representative,meduim,2983,No,low,zero,better,3
35,No,Travel_Rarely,bachelors_degree,Life Sciences,very_high,high,three,Healthcare Representative,high,7632,Yes,high,zero,better,8
31,Yes,Travel_Frequently,bachelors_degree,Life Sciences,low,high,three,Healthcare Representative,high,9824,No,low,zero,better,1
34,Yes,Travel_Frequently,bachelors_degree,Human Resources,meduim,high,three,Human Resources,low,9950,Yes,high,three,better,3
42,No,Travel_Frequently,some_college,Other,meduim,high,one,Laboratory Technician,high,2093,No,very_high,one,better,2
36,No,Non-Travel,masters_degree,Medical,meduim,high,three,Sales Executive,very_high,9980,No,very_high,zero,good,10
22,Yes,Travel_Frequently,no_college,Technical Degree,high,meduim,one,Laboratory Technician,high,3894,No,high,zero,better,2
48,No,Travel_Rarely,Doctorate,Marketing,meduim,high,two,Sales Executive,very_high,4051,No,low,one,better,9
55,No,Travel_Rarely,Doctorate,Life Sciences,low,high,four,Manager,meduim,16835,No,very_high,zero,better,10
41,No,Non-Travel,some_college,Life Sciences,very_high,high,two,Sales Executive,very_high,6230,No,very_high,zero,better,14
35,No,Travel_Rarely,bachelors_degree,Marketing,meduim,high,two,Sales Executive,high,4717,No,high,zero,better,11
40,No,Travel_Rarely,bachelors_degree,Life Sciences,meduim,high,four,Manufacturing Director,high,13237,No,high,zero,better,20
39,No,Travel_Frequently,no_college,Life Sciences,high,high,one,Laboratory Technician,high,3755,No,low,one,better,8
31,No,Travel_Rarely,no_college,Life Sciences,meduim,high,two,Sales Executive,very_high,6582,Yes,high,zero,best,6
42,No,Travel_Rarely,bachelors_degree,Medical,very_high,high,three,Manufacturing Director,low,7406,Yes,very_high,one,good,10
45,No,Travel_Rarely,bachelors_degree,Other,very_high,high,two,Sales Executive,meduim,4805,No,meduim,one,best,8
26,Yes,Travel_Frequently,masters_degree,Life Sciences,meduim,high,one,Human Resources,high,2741,Yes,meduim,one,good,7
29,No,Travel_Rarely,bachelors_degree,Technical Degree,very_high,high,two,Manufacturing Director,very_high,4262,No,meduim,two,best,3
33,No,Travel_Rarely,Doctorate,Medical,low,very_high,four,Research Director,high,16184,No,high,one,better,6
31,No,Travel_Rarely,bachelors_degree,Life Sciences,high,meduim,three,Manager,very_high,11557,No,high,one,good,5
18,Yes,Travel_Frequently,bachelors_degree,Marketing,meduim,high,one,Sales Representative,meduim,1878,Yes,very_high,zero,better,0
40,No,Non-Travel,bachelors_degree,Other,high,low,three,Sales Executive,low,10932,No,high,one,better,1
41,No,Non-Travel,masters_degree,Other,low,meduim,two,Healthcare Representative,high,6811,Yes,low,zero,better,8
26,No,Travel_Rarely,some_college,Medical,low,high,two,Sales Executive,high,4306,No,low,two,better,0
35,No,Travel_Rarely,bachelors_degree,Medical,low,high,two,Sales Executive,high,4859,No,very_high,zero,better,5
34,No,Travel_Rarely,masters_degree,Life Sciences,very_high,very_high,two,Sales Executive,very_high,5337,No,very_high,zero,better,10
26,Yes,Travel_Rarely,bachelors_degree,Technical Degree,high,low,one,Laboratory Technician,very_high,2340,Yes,meduim,zero,bad,1
37,No,Travel_Rarely,bachelors_degree,Technical Degree,meduim,high,three,Manufacturing Director,very_high,7491,No,very_high,zero,best,6
46,No,Travel_Frequently,no_college,Medical,low,high,three,Healthcare Representative,high,10527,No,very_high,zero,good,2
41,No,Travel_Rarely,Doctorate,Life Sciences,meduim,high,four,Manager,low,16595,No,meduim,one,better,18
37,No,Non-Travel,masters_degree,Medical,low,high,three,Sales Executive,meduim,8834,No,very_high,one,better,9
52,No,Travel_Rarely,some_college,Technical Degree,very_high,high,two,Research Scientist,low,5577,Yes,meduim,two,better,10
32,Yes,Non-Travel,masters_degree,Other,very_high,very_high,two,Sales Executive,high,4707,No,very_high,zero,better,4
24,No,Travel_Frequently,bachelors_degree,Medical,very_high,high,one,Sales Representative,very_high,2400,No,high,two,better,2
38,No,Travel_Rarely,bachelors_degree,Medical,high,high,two,Healthcare Representative,high,9824,No,high,one,better,1
37,No,Travel_Rarely,masters_degree,Life Sciences,meduim,high,two,Manufacturing Director,meduim,6447,No,meduim,one,good,6
24,No,Travel_Rarely,bachelors_degree,Medical,meduim,very_high,one,Research Scientist,very_high,2725,Yes,meduim,two,better,6
26,No,Travel_Rarely,some_college,Marketing,low,high,two,Sales Executive,meduim,6272,No,very_high,two,best,5
24,No,Travel_Rarely,some_college,Other,very_high,meduim,one,Laboratory Technician,meduim,2127,No,very_high,one,better,1
25,No,Travel_Rarely,no_college,Medical,meduim,high,one,Sales Representative,high,2096,No,high,zero,better,7
24,Yes,Travel_Frequently,bachelors_degree,Life Sciences,low,high,one,Laboratory Technician,high,2886,Yes,very_high,one,better,6
30,Yes,Travel_Frequently,masters_degree,Life Sciences,meduim,meduim,one,Sales Representative,low,2033,No,high,one,best,1
34,No,Travel_Rarely,some_college,Life Sciences,meduim,meduim,one,Research Scientist,very_high,3622,Yes,very_high,one,better,6
31,Yes,Travel_Rarely,masters_degree,Medical,meduim,high,two,Sales Executive,low,4233,No,high,zero,bad,3
35,No,Travel_Rarely,some_college,Other,low,meduim,two,Laboratory Technician,very_high,3681,No,very_high,zero,better,3
